Percent,PWM,RPS,RPM
100,255,52,3120
95,242.25,50,3000
90,229.5,47,2820
85,216.75,46,2760
80,204,44,2640
75,191.25,42,2520
70,178.5,41,2460
65,165.75,38,2280
60,153,36,2160
55,140.25,33,1980
50,127.5,33,1980
45,114.75,29,1740
40,102,26,1560
35,89.25,24,1440
30,76.5,20,1200
25,63.75,17,1020
20,51,13,780
15,38.25,10,600
10,25.5,0,0
5,12.75,0,0
0,0,0,0
-5,-12.75,0,0
-10,-25.5,3,180
-15,-38.25,9,540
-20,-51,13,780
-25,-63.75,17,1020
-30,-76.5,21,1260
-35,-89.25,24,1440
-40,-102,27,1620
-45,-114.75,30,1800
-50,-127.5,32,1920
-55,-140.25,35,2100
-60,-153,37,2220
-65,-165.75,39,2340
-70,-178.5,42,2520
-75,-191.25,44,2640
-80,-204,45,2700
-85,-216.75,48,2880
-90,-229.5,49,2940
-95,-242.25,52,3120
-100,-255,55,0
